bhk,area_sqft,locality,furnishing,status,price_rupees,price_per_sqft
2,583.0,Shela,Furnished,Under Construction,4950000.0,8490.57
2,765.0,Gurukul,Semi-Furnished,Ready To Move,5000000.0,6535.95
2,1200.0,Bopal,Furnished,Under Construction,4550000.0,3791.67
2,717.0,Ognaj,Furnished,Ready To Move,4800000.0,6694.56
2,850.0,Ghodasar,Furnished,Ready To Move,4500000.0,5294.12
2,1080.0,Behrampura,Furnished,Ready To Move,4200000.0,3888.89
2,1053.0,Bopal,Furnished,Ready To Move,4600000.0,4368.47
1,650.0,Vastral,Furnished,Ready To Move,2400000.0,3692.31
3,1305.0,Vastral,Furnished,Ready To Move,4800000.0,3678.16
2,610.0,Shela,Furnished,Ready To Move,4800000.0,7868.85
2,597.0,Shela,Furnished,Ready To Move,4340000.0,7269.68
2,650.0,Bopal,Furnished,Under Construction,5500000.0,8461.54
2,1140.0,Sardar Patel Ring,Semi-Furnished,Ready To Move,4800000.0,4210.53
2,1179.0,Nikol,Furnished,Ready To Move,4600000.0,3901.61
2,900.0,Chandkheda,Semi-Furnished,Ready To Move,4500000.0,5000.0
2,1085.0,Shela,Furnished,Under Construction,4210000.0,3880.18
2,710.0,Shela,Furnished,Under Construction,4220000.0,5943.66
1,684.0,Vastral,Furnished,Ready To Move,1850000.0,2704.68
2,1395.0,Nikol,Semi-Furnished,Ready To Move,4950000.0,3548.39
2,592.01,Naroda,Unfurnished,Ready To Move,4100000.0,6925.51
2,1140.0,Sardar Patel Ring,Furnished,Ready To Move,4500000.0,3947.37
2,612.0,Gota,Furnished,Under Construction,4750000.0,7761.44
2,1197.0,Vastral,Furnished,Ready To Move,3700000.0,3091.06
2,718.0,Jagatpur,Furnished,Under Construction,4900000.0,6824.51
2,1150.0,Bopal,Furnished,Ready To Move,4850000.0,4217.39
1,400.0,Naroda,Furnished,Ready To Move,2700000.0,6750.0
2,1197.0,Gota,Furnished,Ready To Move,4500000.0,3759.4
2,914.0,Vastral,Furnished,Ready To Move,3800000.0,4157.55
